n       T       w
16      1       0.0870317
16      2       0.0336839
16      3       0.0436008
16      4       0.125026
32      1       0.106629
32      2       0.0662864
32      3       0.0709091
32      4       0.0772676
64      1       0.339277
64      2       0.194427
64      3       0.209695
64      4       0.199983
128     1       1.25184
128     2       0.691673
128     3       0.763495
128     4       0.619393
256     1       4.8487
256     2       2.72773
256     3       2.91994
256     4       2.46699
512     1       9.93468
512     2       5.59324
512     3       5.54217
512     4       4.3927
1024    1       39.7778
1024    2       22.3549
1024    3       22.4065
1024    4       17.8063

